CopyBarcode,CallNumber,Title,MaterialType,PublicationYear,Status,DateLastAccountedFor,DateAcquired,TotalCirculations,CirculationsThisYear,CirculationsLastYear,CirculationsThisMonth
T 40391,VIDEO 004 Com,Computer literacy and careers : Get plugged in,Video,,Available,2/7/2023,4/9/2009,2,0,0,0
T 31105,VIDEO 004.678083,Danger.com : teens online.,Video,2005,Available,2/7/2023,12/2/2005,2,0,0,0
T 33808,VIDEO 070.4 PHO,The photographers,Video,2000,Available,2/7/2023,4/12/2006,1,0,0,0
T 40658,VIDEO 300 DRE,The Drew Carey project : volume 1.,Video,,Available,2/7/2023,6/10/2010,0,0,0,0
T 40026,VIDEO 300 STO,Stossel in the classroom : 2007 edition.,Video,2007,Available,2/7/2023,1/17/2008,0,0,0,0
T 41126,VIDEO 301 ALL,The way we live all together.,Video,2005,Available,2/7/2023,6/9/2014,0,0,0,0
T 41146,VIDEO 301 FAM,Family matters,Video,2005,Available,2/7/2023,6/3/2014,0,0,0,0
T 41135,VIDEO 301 FIT,Fitting in,Video,2005,Available,2/7/2023,6/3/2014,0,0,0,0
T 41147,VIDEO 301 GOL,The way we live golden years.,Video,2005,Available,2/7/2023,6/9/2014,0,0,0,0
T 41148,VIDEO 301 SEC,Secret of the wild child the revealing story of Genie.,Video,2006,Available,2/7/2023,6/9/2014,0,0,0,0
T 40015,VIDEO 302.2 LIT,"Literacy without limits : help for struggling students, grades 4--12.",Video,,Available,2/7/2023,1/17/2008,0,0,0,0
T 40390,VIDEO 302.23 MED,Media literacy : TV--what you don't see.,Video,,Available,2/7/2023,4/9/2009,1,0,0,0
T 41434,VIDEO 302.3 BUL,"Bullied [a student, a school and a case that made history]",Video,2010,Available,2/7/2023,6/4/2018,0,0,0,0
T 40865,VIDEO 302.3 CYB,Cyber safe identifying and combating cyber bullies,Video,2007,Available,2/7/2023,4/12/2012,0,0,0,0
T 62876,VIDEO 302.34 DEA,Dealing with bullying,Video,2011,Available,2/7/2023,4/2/2012,0,0,0,0
T 62911,VIDEO 305.5 UPS,Ups and downs,Video,2005,Available,2/7/2023,4/6/2012,6,0,0,0
T 62909,VIDEO 306 COM,Common ground,Video,2005,Available,2/7/2023,4/6/2012,5,0,0,0
T 31278,VIDEO 322.4 CHI,Mighty Times : the children's march,Video,2005,Available,2/7/2023,8/17/2006,3,0,0,0
T 30721,VIDEO 322.4 MIG,The legacy of Rosa Parks : mighty times.,Video,2002,Available,2/7/2023,4/28/2015,1,0,0,0
